# HAN (c) Todt
ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0001	0.1447888778	0.588882175
lp_0002	0.1290206907	0.6667254051
lp_0004	0.3068669561	0.2503970634
lp_0005	0.1489820994	0.5769007869
lp_0009	-0.0895716233	0.9190253151
lp_0010	-0.0601352902	0.9031457536
lp_0011	-0.0304285551	0.9600806191
lp_0012	0.0751862841	0.7921681897
lp_0013	0.071707316	0.801295948
lp_0014	0.1361228997	0.6501176311
lp_0015	-0.4381826187	0.2372700571
lp_0016	-0.2278273633	0.4449266863
lp_0017	-0.12476449	0.6758585401
lp_0018	-0.3984083323	0.20473206
lp_0020	0	1
lp_0021	0	1
lp_0022	-0.3515067515	0.4305282643
lp_0023	-0.3581486665	0.3753526388
lp_0024	-0.0695041309	0.8770065067
lp_0025	0.2424013129	0.4882840135
lp_0026	0.9035188232	3.80E-006
lp_0027	0.6252490296	0.0859053701
lp_0028	0.7592700622	0.0007076088
lp_0030	1.1917491167	1.63E-009
lp_0036	0.1255037571	0.6475007047
lp_0037	0.2040554838	0.3519120475
lp_0038	0.2139941439	0.2873436558
lp_0039	0.3749996846	0.0372231956
lp_0041	-0.1425567031	0.7866371849
lp_0043	-0.1025356465	0.7084335467
lp_0046	0.2555015501	0.7583851875
lp_0047	0.7442511003	0.0298902902
lp_0048	0.3341027894	0.3492639781
lp_0050	0.3105765117	0.3948756101
lp_0052	0.2258827537	0.5648608934
lp_0053	0.1239745809	0.6668403877
lp_0056	0	1
lp_0057	0.5263573244	0.0194636338
lp_0058	-0.2731271019	0.5503439228
lp_0059	0.6087831869	0.2350990517
lp_0060	0	1
lp_0061	0.3275720372	0.5223886784
lp_0062	-0.0288029362	0.9726575967
lp_0063	-0.6706947847	0.2788323749
lp_0066	-0.1534960554	0.6762046356
lp_0067	0.615729714	0.1044459424
lp_0068	0.0156793156	0.9747642079
lp_0070	-1.1576345639	1.83E-007
lp_0073	-0.1239688773	0.7290939464
lp_0074	0.4969876371	0.1643959159
lp_0075	1.499728542	2.27E-005
lp_0076	-0.3040986479	0.213022861
lp_0077	0.068898285	0.8701476413
lp_0078	-0.2448676127	0.3957836201
lp_0080	-0.2018003677	0.5283857656
lp_0081	0.739971723	0.0109993994
lp_0082	-0.0778292434	0.9065251058
lp_0083	0.2452410782	0.4683832399
lp_0085	-2.2400406639	3.50E-034
lp_0088	0.0057828909	0.9898605826
lp_0089	0.3724080325	0.2111527836
lp_0091	0.1185768946	0.7443311202
lp_0092	-0.5319753743	0.0228778953
lp_0096	0.880478148	0.0236890797
lp_0098	1.7078491578	4.16E-008
lp_0099	0.4965027696	0.2145193581
lp_0100	0.0753821921	0.7859640901
lp_0101	0.1011934532	0.7994230604
lp_0102	0.1358469169	0.6732178342
lp_0103	0.1205643544	0.8853734998
lp_0104	1.005855455	0.0005239194
lp_0105	0.4951778249	0.1872070845
lp_0106	0.6703228224	0.0484919233
lp_0107	0.6632088304	0.0242934887
lp_0108	0.1261850182	0.8577939249
lp_0109	0.5259557638	0.2091224212
lp_0111	0.5294478972	0.0454189485
lp_0113	-0.5155591489	0.0777036692
lp_0114	-0.1815891105	0.6501176311
lp_0115	-0.2797091946	0.4541031644
lp_0116	-0.4076924236	0.1808607047
lp_0117	0.4799904546	0.0576550507
lp_0118	-0.4328192626	0.0676813586
lp_0119	0.5772139353	0.0517932646
lp_0120	-0.142154329	0.5710316409
lp_0121	-1.0058213476	1.35E-006
lp_0122	-0.7113496296	0.000240258
lp_0124	0.1083265617	0.7100469659
lp_0126	0.6313286594	0.0099969073
lp_0127	2.4515737046	5.30E-016
lp_0128	-0.0769481269	0.8598298053
lp_0129	0.0028229152	0.9953179854
lp_0130	-0.9879446907	0.084990874
lp_0132	0.0361607172	0.940945692
lp_0133	0.7485920199	0.0021979683
lp_0134	1.0837114096	7.65E-005
lp_0136	0.0376080564	0.9657626731
lp_0137	0.0898362755	0.7988150131
lp_0138	-0.5949307321	0.0001108484
lp_0139	-0.3037220139	0.1575721543
lp_0141	0	1
lp_0145	0.0052594497	0.9883456484
lp_0146	0.4324933223	0.1342185344
lp_0148	-0.2891477783	0.1977515894
lp_0149	-0.239957337	0.3062426468
lp_0150	-0.3121341869	0.4423821495
lp_0152	0.2186447489	0.4073963687
lp_0154	0	1
lp_0155	0	1
lp_0156	1.9066971232	0.000269218
lp_0158	0.68890753	0.0008653686
lp_0159	1.1028187975	5.89E-005
lp_0160	-0.3491642029	0.3313088285
lp_0161	-0.1397402812	0.7798862397
lp_0162	0.288725749	0.3725076646
lp_0163	-0.1916011877	0.6144960519
lp_0164	0.0812216544	0.8312049976
lp_0165	0.0357381915	0.9626388855
lp_0166	0.278397155	0.315117607
lp_0168	4.6111762649	6.60E-093
lp_0169	4.6657294865	1.33E-081
lp_0170	5.2784872095	7.49E-078
lp_0171	4.4706948633	3.30E-087
lp_0172	0.080400307	0.8706403296
lp_0173	0.0797323148	0.8619555409
lp_0174	0.0077664565	0.9832189537
lp_0175	-0.4837321795	0.0482018211
