ID	WCFS1.glc.over.NC8.glc	fdr.WCFS1.glc.over.NC8.glc
lp_0817	-0.3528561156	0.0345769311
lp_1562	-0.3946108719	0.0277561895
lp_1561	-0.4062462596	0.025912464
lp_2325	-0.4088324993	0.0171639533
lp_2263	-0.4140096283	0.025823194
lp_0758	-0.4142718872	0.0419220366
lp_0822	-0.4241112014	0.0438163378
lp_1162	-0.424207918	0.0202067474
lp_0286	-0.4368156066	0.0457473704
lp_2585	-0.4446666293	0.0393076138
lp_0361	-0.4447233913	0.0431185377
lp_1125	-0.4489693538	0.0265339667
lp_2015	-0.4508842779	0.0156689088
lp_1580	-0.4561058724	0.017625343
lp_3059	-0.4567239908	0.0251219271
lp_2067	-0.4568492923	0.0337990573
lp_1055	-0.4572878324	0.0488292481
lp_2056	-0.4580856403	0.0056924696
lp_0575	-0.4619366215	0.0109178966
lp_2326	-0.463853601	0.0085696735
lp_2304	-0.4641142818	0.0079933587
lp_0688	-0.4662240658	0.0402904653
lp_0729	-0.470190104	0.0156689088
lp_2333	-0.4780614812	0.0174672681
lp_0175	-0.4837321795	0.0482018211
lp_2352	-0.4855706174	0.0432429527
lp_2142	-0.4883937963	0.0427505735
lp_0304	-0.49219063	0.0032148552
lp_2264	-0.4931394845	0.0051611041
lp_1115	-0.5044989406	0.0146036243
lp_0354	-0.5104329098	0.017625343
lp_2799	-0.5119982878	0.0027067301
lp_3411	-0.5142174331	0.0270226394
lp_3675	-0.5205128133	0.037032606
lp_0197	-0.5224775484	0.0487565113
lp_2314	-0.5288123114	0.0099969073
lp_1660	-0.5291423	0.0080121965
lp_0092	-0.5319753743	0.0228778953
lp_1164	-0.5419407513	0.0191990115
lp_3492	-0.5504160937	0.0287908655
lp_3404	-0.5506272254	0.0149975362
lp_2137	-0.5525760189	0.0005308684
lp_2906	-0.5574699444	0.0099389227
lp_0481	-0.5582374308	0.0011695302
lp_2166	-0.5597600574	0.0007300952
lp_2889	-0.5630150825	0.040223848
lp_2710	-0.5650438429	0.0046350408
lp_2968	-0.5666823511	0.0194636338
lp_0536	-0.573075799	0.0024454242
lp_2698	-0.5730766252	0.0337253618
lp_2824	-0.5760783907	0.0008752644
lp_1339	-0.5851043147	0.0297876171
lp_3139	-0.5859688204	0.040223848
lp_2613	-0.5896134325	0.0052059139
lp_1003	-0.5939430552	0.0242220657
lp_2956	-0.5945025505	0.0205233043
lp_0138	-0.5949307321	0.0001108484
lp_0455	-0.6008692965	0.0184790434
lp_2280	-0.6017746363	0.0139710999
lp_0231	-0.6046178976	0.0027249788
lp_3049	-0.6091741668	0.0002705785
lp_3204	-0.6094297006	0.0006219863
lp_0761	-0.6146246831	0.0002213079
lp_1355	-0.6201556997	0.0053506283
lp_1913	-0.6259597394	0.0232253481
lp_2604	-0.6299245891	0.0121554183
lp_2818	-0.6307258136	0.0006959127
lp_3259	-0.6329880702	0.0008503007
lp_1611	-0.6366776838	0.0088412751
lp_0371	-0.6379565821	0.0173658411
lp_3205	-0.639577038	0.0155471367
lp_2704	-0.6423328186	0.0006309848
lp_2802	-0.6436994149	0.0138003498
lp_2615	-0.6446718901	0.0396027218
lp_0505	-0.6452653543	0.0037984863
lp_0689	-0.6573586532	0.0119270542
lp_2856	-0.6591895135	0.0126579674
lp_1910	-0.666007284	0.0255090447
lp_1354	-0.6666097835	0.0428354344
lp_2991	-0.6735218902	0.0082430068
lp_1250	-0.6735889294	0.0110730696
lp_3019	-0.6756148733	0.0061871926
lp_3334	-0.6904513551	0.0026772241
lp_1302	-0.6936418773	0.0004895783
lp_1519	-0.6960090601	0.0100736802
lp_2302	-0.6965597427	2.63E-006
lp_2059	-0.6978359108	0.0001280061
lp_3398	-0.7029632696	0.0021979683
lp_1069	-0.7042150566	3.60E-005
lp_3006	-0.704384463	0.0026410974
lp_1731	-0.7094353591	0.0142157413
lp_3239	-0.7107182246	0.0113167194
lp_0122	-0.7113496296	0.000240258
lp_0875	-0.7176906195	0.0278497062
lp_3073	-0.7212020344	0.029929111
lp_0263	-0.7215471048	2.73E-005
lp_2940	-0.7219650773	0.0014853887
lp_3513	-0.728605841	0.0011596366
lp_0561	-0.7298512325	0.0001742482
lp_1947	-0.7303293734	0.0126423476
lp_1168	-0.7308012387	0.0078122118
lp_1356	-0.734921505	0.0289667807
lp_0957	-0.7432602723	3.99E-005
lp_2932	-0.7437638254	2.52E-005
lp_1669	-0.7483608995	0.000147906
lp_1931	-0.7586278734	0.0002045211
lp_1427	-0.7588687782	0.0002514784
lp_2606	-0.7588826993	0.0013732634
lp_2825	-0.7594442304	5.97E-006
lp_2714	-0.7624103277	0.0003472374
lp_1297	-0.7636082231	0.0011461567
lp_1668	-0.7755380311	0.0001044882
lp_2586	-0.7791129708	0.0429872068
lp_1001	-0.7792142735	0.0021842699
lp_3494	-0.780724359	0.0101720415
lp_2322	-0.7834585226	2.50E-006
lp_3077	-0.7843580326	2.89E-007
lp_3268	-0.788465232	0.0285414466
lp_1933	-0.7901029085	0.0406463551
lp_2930	-0.7908835222	0.0139710999
lp_1914	-0.7933000744	0.0016404463
lp_3586	-0.7959231324	0.0003485423
lp_1909	-0.7967140705	0.0207711163
lp_1663	-0.8018484734	0.0484255813
lp_1124	-0.8029556168	0.0059900716
lp_2931	-0.8055807945	0.0002441838
lp_1523	-0.8140789905	0.0051600128
lp_1860	-0.8164099632	0.0029331049
lp_1833	-0.8221354311	8.18E-005
lp_3453	-0.82979584	0.0297943864
lp_3155	-0.8319881049	0.0122717026
lp_1564	-0.8321585068	1.49E-005
lp_0907	-0.8327854225	5.33E-005
lp_2699	-0.8379287862	0.0030769241
lp_1565	-0.839038881	0.0004328685
lp_3008	-0.846702067	0.0265564464
lp_2141	-0.850269281	2.80E-005
lp_2614	-0.8504290545	0.0013950482
lp_1688	-0.8544001755	0.011357481
lp_3055	-0.8613293434	0.0194636338
lp_1430	-0.8649632152	4.94E-005
lp_1546	-0.8689348798	0.0042982935
lp_0925	-0.8719397055	3.80E-006
lp_1378	-0.8894114695	0.0351397147
lp_2740	-0.8900597536	1.05E-006
lp_1657	-0.8905950985	0.0427663612
lp_3575	-0.9291851936	0.0248175691
lp_3330	-0.931553362	9.98E-006
lp_1443	-0.9505991629	0.0001741243
lp_3452	-0.9536172682	0.017625343
lp_3440	-0.9577956019	0.0017619574
lp_0176	-0.9675960521	0.0211288893
lp_2513	-0.968758083	0.0014545258
lp_2702	-0.9726556819	0.000456297
lp_2715	-0.9747148373	1.49E-005
lp_1859	-0.9804370901	0.0017008665
lp_2776	-0.9911212669	2.22E-007
lp_1374	-0.9917692797	0.0173658411
lp_1994	-0.9921992083	2.93E-010
lp_0039	0.3749996846	0.0372231956
lp_2217	0.379036233	0.0377412736
lp_0805	0.3897662805	0.035309798
lp_0698	0.3936076269	0.0325898284
lp_1595	0.3989556688	0.0325925909
lp_3687	0.3999400383	0.0369874179
lp_0515	0.4067910688	0.011829448
lp_0699	0.4107531898	0.0327607077
lp_1008	0.4129481996	0.0442520625
lp_0690	0.4146705636	0.0400485161
lp_1703	0.4172592417	0.0494633827
lp_2786	0.4191993149	0.0344624412
lp_0369	0.4199360683	0.0252024496
lp_2652	0.4246477078	0.0297471817
lp_0743	0.4269398226	0.0071747323
lp_0700	0.4296978539	0.0099969073
lp_2631	0.4297522157	0.016416204
lp_0772	0.431446884	0.020402241
lp_2860	0.4365833645	0.0377412736
lp_2275	0.4402223948	0.037032606
lp_2541	0.4460910522	0.041192661
lp_3211	0.453371957	0.0174039781
lp_0929	0.4562457608	0.0223335037
lp_1648	0.4596544206	0.0405612118
lp_2128	0.460643813	0.0082465499
lp_3210	0.4606686235	0.0429872068
lp_1314	0.4664228874	0.0334228092
lp_0367	0.4700206201	0.0183880269
lp_1109	0.4710333057	0.0203031849
lp_1877	0.475377947	0.006141644
lp_0971	0.4783074238	0.0232253481
lp_3236	0.4841511019	0.0191990115
lp_0914	0.4900679707	0.0113167194
lp_1876	0.4907741421	0.016416204
lp_3312	0.4941333295	0.0333033045
lp_1747	0.498068027	0.0297943864
lp_0226	0.4995647993	0.012760865
lp_0538	0.4998846782	0.0330074183
lp_0930	0.5005254611	0.0356406095
lp_1241	0.5044270306	0.0487565113
