# HAN (c) Todt
WCFS1	NC8
NC_004567|lp_1688|1536646_1537197|184AA	NZ_AGRI01000006|nc8_1446|106184_106735|184AA
NC_004567|lp_2800|2494449_2495225|259AA	NZ_AGRI01000010|nc8_2380|173512_174288|259AA
NC_004567|lp_0438|391575_391997|141AA	NZ_AGRI01000003|nc8_0402|60872_61294|141AA
NC_004567|lp_0436|390029_391390|454AA	NZ_AGRI01000003|nc8_0400|59326_60687|454AA
NC_004567|lp_0435|389246_389956|237AA	NZ_AGRI01000003|nc8_0399|58543_59253|237AA
NC_004567|lp_0434|387822_388838|339AA	NZ_AGRI01000003|nc8_0398|57119_58135|339AA
NC_004567|lp_0433|386606_387382|259AA	NZ_AGRI01000003|nc8_0397|55904_56680|259AA
NC_004567|lp_0432|384038_386347|770AA	NZ_AGRI01000003|nc8_0396|53336_55645|770AA
NC_004567|lp_1922|1742849_1743298|150AA	NZ_AGRI01000006|nc8_1652|314195_314644|150AA
NC_004567|lp_1923|1743368_1744513|382AA	NZ_AGRI01000006|nc8_1653|314714_315859|382AA
NC_004567|lp_1199|1092407_1093180|258AA	NZ_AGRI01000003|nc8_1051|725241_726014|258AA
NC_004567|lp_0881|812630_813466|279AA	NZ_AGRI01000003|nc8_0784|455587_456423|279AA
NC_004567|lp_0878|811869_812609|247AA	NZ_AGRI01000003|nc8_0783|454832_455566|245AA
NC_004567|lp_0872|808188_808814|209AA	NZ_AGRI01000003|nc8_0778|450591_451217|209AA
NC_004567|lp_0871|807221_808039|273AA	NZ_AGRI01000003|nc8_0777|449580_450398|273AA
NC_004567|lp_0875|811085_811336|84AA	NZ_AGRI01000003|nc8_0781|454042_454293|84AA
NC_004567|lp_0874|809220_810851|544AA	NZ_AGRI01000003|nc8_0780|452816_453808|331AA
NC_004567|lp_0865|805131_805280|50AA	NZ_AGRI01000003|nc8_0773|447490_447693|68AA
NC_004567|lp_0864|804635_805054|140AA	NZ_AGRI01000003|nc8_0772|446994_447413|140AA
NC_004567|lp_0868|806123_806566|148AA	NZ_AGRI01000003|nc8_0775|448482_448925|148AA
NC_004567|lp_0866|805431_806012|194AA	NZ_AGRI01000003|nc8_0774|447790_448371|194AA
NC_004567|lp_1147|1044093_1044413|107AA	NZ_AGRI01000003|nc8_1005|679130_679450|107AA
NC_004567|lp_0472|422195_423217|341AA	NZ_AGRI01000003|nc8_0435|93528_94550|341AA
NC_004567|lp_0473|423300_424286|329AA	NZ_AGRI01000003|nc8_0436|94633_95619|329AA
NC_004567|lp_0477|426652_427584|311AA	NZ_AGRI01000003|nc8_0440|97985_98917|311AA
NC_004567|lp_0479|427947_428387|147AA	NZ_AGRI01000003|nc8_0442|99226_99720|165AA
NC_004567|lp_0475|424456_425265|270AA	NZ_AGRI01000003|nc8_0438|95789_96598|270AA
NC_004567|lp_0476|425285_426637|451AA	NZ_AGRI01000003|nc8_0439|96618_97970|451AA
NC_004567|lp_0502|450437_451717|427AA	NZ_AGRI01000003|nc8_0447|104251_105531|427AA
NC_004567|lp_0505|452087_452740|218AA	NZ_AGRI01000003|nc8_0448|105901_106554|218AA
NC_004567|lp_0480|428432_429031|200AA	NZ_AGRI01000003|nc8_0443|99765_100373|203AA
NC_004567|lp_0481|429204_430817|538AA	NZ_AGRI01000003|nc8_0444|100546_102159|538AA
NC_004567|lp_1686|1534762_1535262|167AA	NZ_AGRI01000006|nc8_1444|104300_104800|167AA
NC_004567|lp_1938|1756855_1757745|297AA	NZ_AGRI01000006|nc8_1678|337806_338696|297AA
NC_004567|lp_1939|1757909_1758853|315AA	NZ_AGRI01000006|nc8_1679|338860_339804|315AA
NC_004567|lp_2748|2444512_2444985|158AA	NZ_AGRI01000010|nc8_2336|125911_126384|158AA
NC_004567|lp_1680|1530521_1531291|257AA	NZ_AGRI01000006|nc8_1439|100059_100829|257AA
NC_004567|lp_1681|1531312_1532070|253AA	NZ_AGRI01000006|nc8_1440|100850_101608|253AA
NC_004567|lp_1682|1532070_1532621|184AA	NZ_AGRI01000006|nc8_1441|101608_102159|184AA
NC_004567|lp_1685|1533668_1534555|296AA	NZ_AGRI01000006|nc8_1443|103206_104093|296AA
NC_004567|lp_2749|2445162_2445488|109AA	NZ_AGRI01000010|nc8_2337|126561_126887|109AA
NC_004567|lp_2751|2445857_2447053|399AA	NZ_AGRI01000010|nc8_2338|127256_128452|399AA
NC_004567|lp_0200|183206_184867|554AA NC_004567|lp_0201|185073_186734|554AA NC_004567|lp_1261|1146473_1148116|548AA	NZ_AGRI01000002|nc8_0186|195749_197410|554AA NZ_AGRI01000002|nc8_0187|197616_199277|554AA NZ_AGRI01000003|nc8_1108|782783_784426|548AA
NC_004567|lp_0264|237710_239707|666AA NC_004567|lp_0265|239936_241897|654AA NC_004567|lp_3240|2887100_2889094|665AA	NZ_AGRI01000002|nc8_0237|246832_248829|666AA NZ_AGRI01000002|nc8_0238|249049_251019|657AA NZ_AGRI01000001|nc8_2765|246249_248288|680AA
NC_004567|lp_1665|1518456_1519499|348AA	NZ_AGRI01000006|nc8_1425|87994_89037|348AA
NC_004567|lp_1663|1515783_1517021|413AA	NZ_AGRI01000006|nc8_1423|85321_86559|413AA
NC_004567|lp_1660|1513910_1514860|317AA	NZ_AGRI01000006|nc8_1421|83447_84397|317AA
NC_004567|lp_1658|1512415_1513209|265AA	NZ_AGRI01000006|nc8_1419|81949_82746|266AA
NC_004567|lp_2868|2554944_2555582|213AA	NZ_AGRI01000010|nc8_2436|233446_234084|213AA
NC_004567|lp_2870|2556139_2556543|135AA	NZ_AGRI01000010|nc8_2437|234622_235026|135AA
NC_004567|lp_1448|1326443_1327489|349AA	NZ_AGRI01000005|nc8_1261|29437_30483|349AA
NC_004567|lp_1667|1519806_1520168|121AA	NZ_AGRI01000006|nc8_1426|89344_89706|121AA
NC_004567|lp_3301|2935717_2936250|178AA	NZ_AGRI01000001|nc8_2819|294896_295429|178AA
NC_004567|lp_3299|2935124_2935492|123AA	NZ_AGRI01000001|nc8_2817|294303_294671|123AA
NC_004567|lp_2197|1983865_1985244|460AA	NZ_AGRI01000006|nc8_1942|595044_596423|460AA
NC_004567|lp_3302|2936421_2937329|303AA	NZ_AGRI01000001|nc8_2820|295600_296508|303AA
NC_004567|lp_2200|1986530_1988671|714AA	NZ_AGRI01000006|nc8_1944|597709_599850|714AA
NC_004567|lp_1656|1510595_1511221|209AA	NZ_AGRI01000006|nc8_1417|80132_80758|209AA
NC_004567|lp_3342|2975420_2975920|167AA	NZ_AGRI01000001|nc8_2847|331389_331889|167AA
NC_004567|lp_3338|2970785_2972209|475AA	NZ_AGRI01000001|nc8_2843|326756_328180|475AA
NC_004567|lp_1260|1145546_1145926|127AA	NZ_AGRI01000003|nc8_1106|781856_782236|127AA
NC_004567|lp_1262|1148274_1149203|310AA	NZ_AGRI01000003|nc8_1109|784584_785513|310AA
NC_004567|lp_1257|1142425_1143450|342AA	NZ_AGRI01000003|nc8_1103|778735_779760|342AA
NC_004567|lp_1259|1144701_1145546|282AA	NZ_AGRI01000003|nc8_1105|781011_781856|282AA
NC_004567|lp_1274|1157412_1159142|577AA	NZ_AGRI01000003|nc8_1118|793721_795451|577AA
NC_004567|lp_1275|1159680_1160858|393AA	NZ_AGRI01000003|nc8_1119|795990_797168|393AA
NC_004567|lp_1263|1149207_1150241|345AA	NZ_AGRI01000003|nc8_1110|785517_786551|345AA
NC_004567|lp_1273|1157146_1157412|89AA	NZ_AGRI01000003|nc8_1117|793455_793721|89AA
NC_004567|lp_2247|2033489_2033845|119AA	NZ_AGRI01000006|nc8_1989|644349_644705|119AA
NC_004567|lp_1255|1138706_1140283|526AA	NZ_AGRI01000003|nc8_1100|774732_776309|526AA
NC_004567|lp_0055|52791_55160|790AA NC_004567|lp_0952|883915_885804|630AA	NZ_AGRI01000002|nc8_0063|66433_68802|790AA NZ_AGRI01000003|nc8_0847|520343_522232|630AA
NC_004567|lp_2625|2340524_2340808|95AA	NZ_AGRI01000010|nc8_2238|22028_22342|105AA
NC_004567|lp_2624|2340153_2340509|119AA	NZ_AGRI01000010|nc8_2237|21657_22013|119AA
NC_004567|lp_0460|412982_413848|289AA	NZ_AGRI01000003|nc8_0423|82278_83144|289AA
NC_004567|lp_0459|412598_412849|84AA	NZ_AGRI01000003|nc8_0422|81894_82145|84AA
NC_004567|lp_0464|416055_416858|268AA	NZ_AGRI01000003|nc8_0427|85351_86154|268AA
NC_004567|lp_0458|411603_412493|297AA	NZ_AGRI01000003|nc8_0421|80902_81789|296AA
NC_004567|lp_0457|411043_411606|188AA	NZ_AGRI01000003|nc8_0420|80339_80902|188AA
NC_004567|lp_3127|2792958_2796527|1190AA	NZ_AGRI01000001|nc8_2668|154691_158275|1195AA
NC_004567|lp_3536|3154512_3155486|325AA	NZ_AGRI01000001|nc8_3003|498201_499175|325AA
NC_004567|lp_3517|3131911_3133074|388AA	NZ_AGRI01000001|nc8_2985|475586_476749|388AA
NC_004567|lp_3516|3130159_3131907|583AA	NZ_AGRI01000001|nc8_2984|473834_475582|583AA
NC_004567|lp_3521|3135956_3136804|283AA	NZ_AGRI01000001|nc8_2990|479686_480480|265AA
NC_004567|lp_3520|3135461_3135943|161AA	NZ_AGRI01000001|nc8_2989|479137_479619|161AA
NC_004567|lp_3523|3138353_3139243|297AA	NZ_AGRI01000001|nc8_2992|482029_482919|297AA
NC_004567|lp_3522|3136842_3138338|499AA	NZ_AGRI01000001|nc8_2991|480518_482014|499AA
NC_004567|lp_1012|933125_934402|426AA NC_004567|lp_0501|448814_450085|424AA	NZ_AGRI01000003|nc8_0897|569564_570841|426AA NZ_AGRI01000003|nc8_0446|102628_103899|424AA
NC_004567|lp_2659|2362934_2365300|789AA NC_004567|lp_3551|3169087_3171477|797AA	NZ_AGRI01000010|nc8_2261|44342_46708|789AA NZ_AGRI01000001|nc8_3017|512755_515166|804AA
NC_004567|lp_0709|650610_651605|332AA NC_004567|lp_3481|3089258_3090262|335AA	NZ_AGRI01000003|nc8_0627|283688_284683|332AA NZ_AGRI01000001|nc8_2952|434707_435711|335AA
NC_004567|lp_2531|2256924_2258912|663AA NC_004567|lp_2969|2642880_2644862|661AA	NZ_AGRI01000008|nc8_2163|591_2579|663AA NZ_AGRI01000001|nc8_2529|10115_12103|663AA
NC_004567|lp_1283|1166250_1168355|702AA NC_004567|lp_2580|2298372_2300525|718AA	NZ_AGRI01000003|nc8_1125|802559_804664|702AA NZ_AGRI01000009|nc8_2204|3453_5606|718AA
NC_004567|lp_0760|693876_695288|471AA NC_004567|lp_1941|1759376_1760782|469AA	NZ_AGRI01000003|nc8_0673|326953_328365|471AA NZ_AGRI01000006|nc8_1681|340327_341733|469AA
NC_004567|lp_0370|338885_340402|506AA NC_004567|lp_0834|772280_773806|509AA	NZ_AGRI01000003|nc8_0339|5576_7093|506AA NZ_AGRI01000003|nc8_0747|414645_416171|509AA
